[ 5.07357036e+01  4.05857143e+01]
 [ 3.29018555e+01  4.63726326e+01]
 [ 5.64117184e+01  3.21508192e+01]
 [ 3.71419646e+01  6.19166831e+01]
 [ 6.02871646e+01  7.37216859e+01]
 [ 5.65200500e+01  3.21110776e+01]
 [ 6.21623327e+01  6.18400009e+01]
 [ 3.27571098e+01  6.47881944e+01]
 [ 5.81481078e+01  3.89011161e+01]
 [ 2.68081653e+01  5.77490212e+01]
 [ 6.28353430e+01  5.81549367e+01]
 [ 5.89532036e+01  7.60379169e+01]
 [ 5.94511809e+01  4.31201682e+01]
 [ 5.77609619e+01  3.67310866e+01]
 [ 6.86983705e+01  6.67255646e+01]
 [ 5.39849586e+01  3.55469576e+01]
 [ 3.37422611e+01  5.96978835e+01]
 [ 4.81775100e+01  3.13930132e+01]
 [ 7.22955658e+01  5.46979891e+01]
 [ 4.16094695e+01  5.86107819e+01]
 [ 2.96298509e+01  3.71353079e+01]
 [ 5.07914611e+01  3.69115430e+01]
 [ 4.02797024e+01  5.62390052e+01]
 [ 5.97820717e+01  3.42496026e+01]
 [ 4.82712039e+01  3.45702825e+01]
 [ 6.06066821e+01  3.73872092e+01]
 [ 6.26031579e+01  6.61722161e+01]
 [ 3.56556721e+01  3.94679788e+01]
 [ 4.24327657e+01  3.72297669e+01]
 [ 6.07937296e+01  5.30662472e+01]
 [ 6.56120651e+01  3.07679755e+01]
 [ 4.10054229e+01  3.55955131e+01]
 [ 4.83484245e+01  3.45559671e+01]
 [ 6.48987821e+01  4.25324437e+01]
 [ 6.77952057e+01  4.63472528e+01]
 [ 5.68552664e+01  5.36953639e+01]
 [ 6.67443157e+01  4.48531183e+01]
 [ 4.86676452e+01  5.40586407e+01]
 [ 3.93132374e+01  3.53835426e+01]
 [ 5.75740009e+01  5.59497260e+01]
 [ 3.94509954e+01  3.53510126e+01]
 [ 6.39218317e+01  3.35483334e+01]
 [-1.20806376e+01 -2.01657303e+01]
 [ 6.03024114e+01  3.19668892e+01]
 [ 2.64681354e+01  5.65915831e+01]
 [ 5.95365495e+01  3.40117828e+01]
 [ 6.24907290e+01  3.33662329e+01]
 [ 6.43780660e+01  3.16101041e+01]
 [ 6.67079830e+01  4.47482475e+01]
 [ 6.49924832e+01  3.14377942e+01]
 [ 4.54661822e+01  6.66406655e+01]
 [-5.09380472e+01  3.37696721e+01]
 [ 6.07239251e+01  3.65929528e+01]
 [ 5.38447394e+01  6.47084625e+01]
 [ 4.90514467e+01  6.78335623e+01]
 [ 7.43422963e+01  5.22136582e+01]
 [ 6.38639768e+01  3.06365779e+01]
 [ 2.85436192e+01  5.49244843e+01]
 [ 5.73183365e+01  6.35415595e+01]
 [ 5.19195937e+01  7.17352378e+01]
 [-3.16097143e+01  3.84526292e+01]
 [ 4.71588751e+01  4.08676808e+01]
 [ 3.36801295e+01  5.66144997e+01]
 [ 5.89515917e+01  4.23308702e+01]
 [ 5.65940629e+01  5.60554229e+01]
 [ 5.79023478e+01  5.39470129e+01]
 [ 7.20562774e+01  5.20104674e+01]
 [ 6.64259989e+01  3.39694098e+01]
 [ 5.99124958e+01  4.86317458e+01]
 [ 3.87660222e+01  3.92064342e+01]
 [ 5.87873667e+01  4.71082878e+01]
 [ 4.35083333e+01  5.14814571e+01]
 [ 4.27402477e+01  4.21841129e+01]
 [ 6.22265266e+01  5.91508290e+01]
 [ 5.92805844e+01  6.70994532e+01]
 [ 7.02675089e+01  5.74084138e+01]
 [ 2.98935599e+01  6.38333833e+01]
 [ 5.40003254e+01  6.43534518e+01]
 [ 6.27389751e+01  5.83057884e+01]
 [ 6.17214657e+01  4.40436321e+01]
 [ 3.80465663e+01  4.77006156e+01]
 [ 7.42780572e+01  5.22212930e+01]
 [ 5.23147873e+01  6.61878328e+01]
 [ 6.29445599e+01  4.24625841e+01]
 [ 7.50751407e+01  4.84615112e+01]
 [ 5.09191432e+01  5.28824187e+01]
 [ 6.63804772e+01  5.78562571e+01]
 [ 5.70307818e+01  5.47162314e+01]
